tick,population_size,avg_energy,std_energy,avg_age,std_age,births,deaths,deaths_starvation,deaths_natural,avg_S,std_S,min_S,max_S,avg_V,std_V,min_V,max_V,avg_M,std_M,min_M,max_M,avg_IQ,std_IQ,min_IQ,max_IQ,avg_W,std_W,min_W,max_W,avg_R,std_R,min_R,max_R,avg_T0,std_T0,min_T0,max_T0,genetic_diversity,genetic_quality,population_distribution,patch_usage,zone_transitions,Polar_population,Polar_energy_mean,Polar_age_mean,Polar_S_mean,Polar_V_mean,Polar_M_mean,Polar_IQ_mean,Polar_W_mean,Polar_R_mean,Polar_T0_mean,Middle_population,Middle_energy_mean,Middle_age_mean,Middle_S_mean,Middle_V_mean,Middle_M_mean,Middle_IQ_mean,Middle_W_mean,Middle_R_mean,Middle_T0_mean,Equator_population,Equator_energy_mean,Equator_age_mean,Equator_S_mean,Equator_V_mean,Equator_M_mean,Equator_IQ_mean,Equator_W_mean,Equator_R_mean,Equator_T0_mean,avg_lifespan,max_lifespan,reproduction_rate,extinction_probability,avg_death_age,migration_rate
0,500,105.7408,1.1543376282526716,1.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.670558615187,0.0488,0,98,105.7795918367347,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,213,105.79718309859155,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,105.65714285714286,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
1,500,111.5464,1.8466420985128673,2.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.7270040144444,0.0491,0,98,111.44897959183673,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,213,111.79718309859155,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,111.31428571428572,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
2,500,117.2332,2.7419879211987817,3.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.77378149698,0.0485,0,98,116.95306122448979,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,213,117.64507042253521,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,116.91428571428571,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
3,500,122.876,3.7477153929649853,4.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.790925430286,0.0483,0,98,122.12244897959184,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,213,123.49295774647888,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,122.57142857142857,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
4,500,128.5188,4.881982509868989,5.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.802720413151,0.0483,0,99,127.37373737373736,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,212,129.36320754716982,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,128.17142857142858,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
5,500,134.076,6.109946862834958,6.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.826530278782,0.0479,0,99,132.66464646464647,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,212,135.10849056603774,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,133.65714285714284,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
6,500,139.5784,7.420944241806437,7.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.8292702094504,0.0476,0,99,137.95151515151514,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,212,140.7518867924528,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,139.1142857142857,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
7,500,144.94039999999998,8.829821884198276,8.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.825563108812,0.0469,0,99,143.12929292929292,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,212,146.21698113207546,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,144.45714285714283,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
8,500,150.2916,10.272532117577773,9.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.8157788400413,0.0469,0,99,148.19797979797977,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,212,151.70754716981133,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,149.79999999999998,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
9,500,155.686,11.752291861590244,10.0,0.0,0,0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.0,0,0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,0.0,0.8571428571428571,2948.805684614705,0.047,0,100,153.496,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,211,157.26161137440758,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,189,155.08571428571426,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0
